timestamp,symbol,close,open,high,low,close_less_than_ma10_5m,ma10_5m_less_than_ma30_5m,ma30_5m_less_than_ma60_5m,change_rate_5m,boll_range_rate_5m,close_ma60_rate_5m,close_ma60_rate_4h,volume_ma20_rate_5m,volume_ma20_rate_4h,rsi_4h,close_ma30_rate_1d
1672560600000,ETHUSDT,1194.51,1194.85,1194.85,1194.5,1,0,0,-0.00028,0.00184,0.00059,-0.0108,0.41962,0.5539,39.5,-0.03156
1672560900000,ETHUSDT,1195.32,1194.5,1195.42,1194.38,0,0,0,0.00067,0.00185,0.00118,-0.0108,0.72844,0.5539,39.5,-0.03156
1672561200000,ETHUSDT,1195.35,1195.31,1195.35,1194.93,0,0,0,0.00002,0.00187,0.00121,-0.0108,0.4062,0.5539,39.5,-0.03156
1672561500000,ETHUSDT,1195.28,1195.34,1195.55,1195.27,0,0,0,-0.00006,0.00187,0.00115,-0.0108,0.38095,0.5539,39.5,-0.03156
1672561800000,ETHUSDT,1195.4,1195.27,1195.55,1195.23,0,0,0,0.0001,0.00193,0.00117,-0.0108,0.6467,0.5539,39.5,-0.03156
1672562100000,ETHUSDT,1195.11,1195.39,1195.4,1195.11,0,0,0,-0.00025,0.0019,0.00092,-0.0108,0.2555,0.5539,39.5,-0.03156
1672562400000,ETHUSDT,1194.29,1195.11,1195.39,1194.24,1,0,0,-0.00069,0.00196,0.00024,-0.0108,0.62341,0.5539,39.5,-0.03156
1672562700000,ETHUSDT,1194.68,1194.3,1194.68,1194.29,1,0,0,0.00032,0.00192,0.00056,-0.0108,0.36471,0.5539,39.5,-0.03156
1672563000000,ETHUSDT,1194.47,1194.67,1194.68,1194.17,1,0,0,-0.00018,0.00196,0.00039,-0.0108,0.94342,0.5539,39.5,-0.03156
1672563300000,ETHUSDT,1194.28,1194.48,1194.48,1194.23,1,0,0,-0.00016,0.00197,0.00023,-0.0108,0.34595,0.5539,39.5,-0.03156
1672563600000,ETHUSDT,1194.01,1194.27,1194.28,1194.01,1,0,0,-0.00023,0.00185,0,-0.0108,0.74984,0.5539,39.5,-0.03156
1672563900000,ETHUSDT,1194.08,1194.02,1194.14,1193.98,1,0,0,0.00005,0.00159,0.00006,-0.0108,0.77939,0.5539,39.5,-0.03156
1672564200000,ETHUSDT,1194.57,1194.08,1194.58,1194.08,1,0,0,0.00041,0.00159,0.00039,-0.0108,0.83132,0.5539,39.5,-0.03156
1672564500000,ETHUSDT,1194.69,1194.56,1194.7,1194.56,0,1,0,0.0001,0.00158,0.00049,-0.0108,0.37469,0.5539,39.5,-0.03156
1672564800000,ETHUSDT,1195.45,1194.7,1195.46,1194.69,0,1,0,0.00063,0.00165,0.00104,-0.0108,1.26116,0.5539,39.5,-0.03156
